INFO 2020-11-10 09:13:44,604 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,604 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,604 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,605 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,605 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,606 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,606 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,606 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,606 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,613 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,614 - HEAD -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:44,615 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,615 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,615 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:44,615 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,617 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,617 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,617 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,619 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,619 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,619 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,620 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,621 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,621 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,622 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,622 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,622 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,623 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,623 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,623 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,624 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,624 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,624 - [Errno 9] Bad file descriptor
